MUSTERI_ARIZA	ALTYAPI	SANTRAL_MESAFESI	ATTENUATION_DOWN	NOISE_MARGIN_UP	HIZMET_KALITESI
0	2	250	0	7	1
0	1	787	22	10	1
0	1	759	16	14	1
0	1	1277	30	15	0,833
0	2	240	9	18	1
1	2	83	11	19	1
0	1	487	19	10	1
0	2	495	15	14	1
0	2	151	6	28	1
0	3	3	0	31	1
0	3	5	7	20	1
0	1	723	20	16	0,742
0	2	712	13	19	0,73
0	1	906	21	8	1
0	1	1336	27	19	0,873
0	2	400	5	28	1
0	1	1002	29	21	0,875
0	2	99	8	27	1
0	2	207	9	19	0,999
0	1	613	16	13	1
0	1	693	24	12	1
0	1	948	17	21	1
0	3	4	6	21	1
0	2	10	3	30	0,999
0	2	130	9	23	1
0	1	873	23	11	0,776
0	2	127	6	30	1
0	2	222	12	32	1
0	2	285	10	19	0,999
0	2	154	6	28	1
0	3	5	2	31	1
0	1	437	4	21	0,875
0	2	131	3	29	1
0	2	641	13	18	0,75
0	1	451	9	11	1
1	2	973	30	8	0,236
0	3	6	4	17	0,989
0	2	265	8	10	0,946
0	1	364	21	9	0,433
0	2	295	8	21	1
0	2	146	9	24	1
0	1	304	4	14	0,731
0	1	479	9	30	0,875
0	2	435	18	7	1
0	2	309	10	24	0,999
0	2	258	6	12	1
1	1	800	14	18	0,793
0	1	1018	29	8	0,676
0	2	186	18	7	0,764
1	2	690	16	14	0,66
0	3	6	4	31	1
0	3	6	8	12	1
0	1	726	21	12	1
0	1	1448	24	10	1
0	1	1219	22	12	0,999
0	1	842	18	17	0,625
0	2	756	14	18	0,625
0	1	131	8	11	1
0	1	844	24	19	0,5
0	1	990	22	14	1
0	2	681	16	6	1
0	1	856	22	17	0,959
1	2	135	12	20	1
0	2	245	4	21	0,667
0	1	389	15	8	0,999
0	1	874	19	18	1
0	1	1030	37	9	0,806
0	2	377	11	13	1
0	1	667	18	11	0,921
0	2	164	2	15	1
0	2	123	4	28	1
0	2	414	11	16	1
0	2	236	6	27	1
0	2	235	19	10	1
0	1	1267	27	11	0,862
0	1	918	28	7	0,879
0	2	50	11	16	1
0	1	1170	22	18	0,5
0	2	139	4	14	1
0	1	196	5	24	1
0	1	1118	21	20	0,854
0	2	948	17	17	1
0	2	375	13	19	1
0	1	1089	19	8	1
0	1	779	19	20	0,926
0	3	10	1	17	1
0	1	703	12	11	0,869
0	3	5	2	33	1
0	1	405	12	10	1
0	2	610	23	8	0,999
0	3	3	9	32	1
0	1	79	4	13	1
0	3	2	8	25	1
0	3	10	1	31	1
0	2	236	13	12	1
0	3	4	3	16	1
0	2	77	1	29	1
0	2	346	9	8	0,944
0	1	421	15	11	1
0	1	933	23	17	0,75
0	1	808	17	8	1
0	2	288	12	11	1
0	1	915	18	20	0,875
0	1	1268	24	8	0,792
0	2	176	11	16	0,663
0	2	321	9	29	1
0	2	480	14	16	1
0	1	650	20	17	0,999
0	2	194	8	25	1
0	1	952	16	18	0,862
0	2	209	11	30	1
0	1	929	24	8	0,569
0	2	70	4	22	1
0	2	188	9	24	1
0	2	385	15	9	1
0	2	187	8	23	1
0	1	371	20	13	0,731
0	2	996	17	21	0,75
0	1	514	17	16	1
0	1	964	22	13	0,87
0	1	1042	19	17	1
0	1	543	14	13	1
0	1	633	12	18	1
0	2	319	4	15	1
0	2	185	8	9	1
0	1	920	16	21	0,875
0	2	123	6	17	1
0	2	499	3	12	1
0	1	1039	20	19	1
0	2	130	7	18	1
0	1	1449	22	21	1
0	1	1189	20	13	0,625
0	1	844	23	21	0,762
0	2	1011	21	17	0,625
0	1	1174	20	17	0,833
0	2	576	16	4	1
0	2	289	10	14	1
0	1	1144	20	13	0,975
0	2	249	18	8	1
0	3	3	1	29	1
0	1	377	18	6	0,333
0	2	228	13	23	1
0	1	1020	24	9	1
0	2	567	18	14	0,862
0	2	164	9	18	1
0	1	1174	20	19	0,833
0	1	569	19	8	0,726
0	1	936	19	13	0,651
0	2	523	15	8	1
0	2	226	4	16	1
0	2	516	12	20	0,875
0	2	227	2	32	1
0	1	845	18	18	0,25
0	1	1416	36	8	0,25
0	3	5	10	22	1
0	2	358	13	19	1
0	2	650	16	15	0,907
0	2	147	10	12	0,831
0	2	326	12	13	1
0	2	382	9	27	1
0	3	7	1	20	1
0	1	204	4	14	1
0	2	988	18	13	1
0	1	779	17	9	1
0	2	185	8	19	1
0	1	1154	27	18	0,646
0	3	28	6	10	1
0	1	261	4	14	1
0	1	1345	28	16	0,662
0	2	1110	16	19	0,625
0	2	478	14	10	1
0	2	190	7	17	1
0	2	177	9	9	1
0	2	52	19	31	1
0	2	664	17	7	0,851
0	1	1448	40	8	0,326
0	2	211	14	10	1
0	2	267	14	7	1
0	2	127	7	24	1
0	2	202	11	19	1
0	2	642	26	8	0,5
0	2	916	19	16	1
0	2	227	3	21	0,667
0	2	499	8	28	0,999
0	1	994	18	18	0,667
0	1	787	15	12	1
0	2	916	19	8	0,333
0	2	117	5	24	0,698
0	1	1130	21	11	0,575
0	1	1447	29	17	1
0	2	313	22	9	1
0	2	300	14	21	1
0	1	984	19	18	0,496
1	2	1030	22	8	0,817
0	2	227	9	28	1
0	2	751	12	14	0,978
0	1	861	18	15	1
0	2	1011	28	16	0,25
0	2	429	13	13	1
0	1	1051	18	8	1
0	1	803	15	13	1
0	1	815	16	12	1
0	1	274	6	25	1
0	2	195	9	25	1
0	2	459	28	8	0,883
0	1	556	16	20	1
0	1	1107	22	15	1
0	1	1289	25	18	0,833
0	2	521	13	8	1
0	2	169	15	8	0,771
0	2	233	7	34	1
0	1	394	3	12	1
0	1	405	5	15	1
0	2	300	11	17	1
0	2	709	18	6	1
0	1	1056	17	19	1
0	3	5	2	31	1
1	1	1160	18	14	0,62
0	2	221	6	21	1
0	2	259	10	19	0,875
0	1	745	11	13	0,333
0	1	1081	21	9	0,652
0	2	197	6	22	1
1	2	686	37	16	0,199
0	1	1140	23	20	0,78
0	1	534	18	13	1
0	1	1004	22	19	0,775
0	3	5	1	28	1
0	2	713	16	25	1
0	1	428	14	10	1
0	1	929	23	8	0,768
0	2	268	17	12	1
